Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   241986    0.177    0.000    1.125    0.000 {method 'any' of 'numpy.ndarray' objects}
   488113    0.169    0.000    0.230    0.000 common.py:330(apply_if_callable)
   240590    0.161    0.000    0.326    0.000 common.py:685(is_dtype_equal)
  1204184    0.160    0.000    0.160    0.000 blocks.py:213(internal_values)
   487081    0.159    0.000    0.216    0.000 range.py:675(__len__)
   244710    0.158    0.000    0.158    0.000 {method 'format' of 'str' objects}
   510346    0.157    0.000    0.157    0.000 {method 'startswith' of 'str' objects}
   242268    0.156    0.000    0.630    0.000 generic.py:3636(_check_is_chained_assignment_possible)
   240105    0.154    0.000    0.154    0.000 concat.py:91(is_nonempty)
   239866    0.153    0.000    0.299    0.000 base.py:621(__array__)
  1205612    0.150    0.000    0.150    0.000 {pandas._libs.lib.is_float}
   480426    0.149    0.000    0.258    0.000 concat.py:104(<genexpr>)
   239860    0.142    0.000    0.180    0.000 indexing.py:2333(convert_missing_indexer)
   480200    0.139    0.000    0.293    0.000 concat.py:119(<genexpr>)
   240269    0.139    0.000    0.589    0.000 common.py:275(maybe_iterable_to_list)
   242268    0.137    0.000    0.474    0.000 generic.py:3789(_is_view)
   242596    0.135    0.000    0.135    0.000 {built-in method builtins.min}
   479730    0.135    0.000    0.804    0.000 indexers.py:23(is_list_like_indexer)
    76/75    0.135    0.002    0.137    0.002 {built-in method _imp.create_dynamic}
   481000    0.134    0.000    0.161    0.000 base.py:429(<genexpr>)
   240096    0.123    0.000    0.167    0.000 generic.py:3294(_clear_item_cache)
   240600    0.119    0.000    0.164    0.000 missing.py:601(clean_reindex_fill_method)
      715    0.118    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:914(get_data)
   240347    0.117    0.000    0.121    0.000 base.py:4505(_maybe_promote)
   240112    0.112    0.000    0.113    0.000 base.py:1656(is_unique)
   239864    0.109    0.000    0.109    0.000 indexing.py:231(loc)
   240221    0.103    0.000    0.174    0.000 cast.py:1483(construct_1d_ndarray_preserving_na)
   484574    0.100    0.000    0.100    0.000 base.py:1182(name)
   257790    0.098    0.000    0.098    0.000 {method 'update' of 'dict' objects}
   480426    0.096    0.000    0.139    0.000 concat.py:105(<genexpr>)
   241986    0.094    0.000    0.948    0.000 _methods.py:44(_any)
     3214    0.094    0.000    0.094    0.000 {built-in method nt.stat}
   240083    0.092    0.000    0.122    0.000 common.py:151(cast_scalar_indexer)
   242268    0.086    0.000    0.086    0.000 blocks.py:177(is_view)
   486806    0.086    0.000    0.086    0.000 blocks.py:247(mgr_locs)
   721134    0.083    0.000    0.083    0.000 {pandas._libs.lib.is_integer}
  1437010    0.083    0.000    0.083    0.000 {built-in method builtins.id}
   480738    0.080    0.000    0.080    0.000 common.py:187(<genexpr>)
   203082    0.077    0.000    0.104    0.000 copy.py:253(_keep_alive)
